full_date,year,quarter,month,month_number,day_name,is_weekend,seasons,festival season
01.01.2024,2024,Q1,January,1,Monday,No,Winter,Regular
02.01.2024,2024,Q1,January,1,Tuesday,No,Winter,Regular
03.01.2024,2024,Q1,January,1,Wednesday,No,Winter,Regular
04.01.2024,2024,Q1,January,1,Thursday,No,Winter,Regular
05.01.2024,2024,Q1,January,1,Friday,No,Winter,Regular
06.01.2024,2024,Q1,January,1,Saturday,Yes,Winter,Regular
07.01.2024,2024,Q1,January,1,Sunday,Yes,Winter,Regular
08.01.2024,2024,Q1,January,1,Monday,No,Winter,Regular
09.01.2024,2024,Q1,January,1,Tuesday,No,Winter,Regular
10.01.2024,2024,Q1,January,1,Wednesday,No,Winter,Regular
11.01.2024,2024,Q1,January,1,Thursday,No,Winter,Regular
12.01.2024,2024,Q1,January,1,Friday,No,Winter,Regular
13.01.2024,2024,Q1,January,1,Saturday,Yes,Winter,Regular
14.01.2024,2024,Q1,January,1,Sunday,Yes,Winter,Regular
15.01.2024,2024,Q1,January,1,Monday,No,Winter,Regular
16.01.2024,2024,Q1,January,1,Tuesday,No,Winter,Regular
17.01.2024,2024,Q1,January,1,Wednesday,No,Winter,Regular
18.01.2024,2024,Q1,January,1,Thursday,No,Winter,Regular
19.01.2024,2024,Q1,January,1,Friday,No,Winter,Regular
20.01.2024,2024,Q1,January,1,Saturday,Yes,Winter,Regular
21.01.2024,2024,Q1,January,1,Sunday,Yes,Winter,Regular
22.01.2024,2024,Q1,January,1,Monday,No,Winter,Regular
23.01.2024,2024,Q1,January,1,Tuesday,No,Winter,Regular
24.01.2024,2024,Q1,January,1,Wednesday,No,Winter,Regular
25.01.2024,2024,Q1,January,1,Thursday,No,Winter,Regular
26.01.2024,2024,Q1,January,1,Friday,No,Winter,Regular
27.01.2024,2024,Q1,January,1,Saturday,Yes,Winter,Regular
28.01.2024,2024,Q1,January,1,Sunday,Yes,Winter,Regular
29.01.2024,2024,Q1,January,1,Monday,No,Winter,Regular
30.01.2024,2024,Q1,January,1,Tuesday,No,Winter,Regular
31.01.2024,2024,Q1,January,1,Wednesday,No,Winter,Regular
01.02.2024,2024,Q1,February,2,Thursday,No,Winter,Regular
02.02.2024,2024,Q1,February,2,Friday,No,Winter,Regular
03.02.2024,2024,Q1,February,2,Saturday,Yes,Winter,Regular
04.02.2024,2024,Q1,February,2,Sunday,Yes,Winter,Regular
05.02.2024,2024,Q1,February,2,Monday,No,Winter,Regular
06.02.2024,2024,Q1,February,2,Tuesday,No,Winter,Regular
07.02.2024,2024,Q1,February,2,Wednesday,No,Winter,Regular
08.02.2024,2024,Q1,February,2,Thursday,No,Winter,Regular
09.02.2024,2024,Q1,February,2,Friday,No,Winter,Regular
10.02.2024,2024,Q1,February,2,Saturday,Yes,Winter,Regular
11.02.2024,2024,Q1,February,2,Sunday,Yes,Winter,Regular
12.02.2024,2024,Q1,February,2,Monday,No,Winter,Regular
13.02.2024,2024,Q1,February,2,Tuesday,No,Winter,Regular
14.02.2024,2024,Q1,February,2,Wednesday,No,Winter,Regular
15.02.2024,2024,Q1,February,2,Thursday,No,Winter,Regular
16.02.2024,2024,Q1,February,2,Friday,No,Winter,Regular
17.02.2024,2024,Q1,February,2,Saturday,Yes,Winter,Regular
18.02.2024,2024,Q1,February,2,Sunday,Yes,Winter,Regular
19.02.2024,2024,Q1,February,2,Monday,No,Winter,Regular
20.02.2024,2024,Q1,February,2,Tuesday,No,Winter,Regular
21.02.2024,2024,Q1,February,2,Wednesday,No,Winter,Regular
22.02.2024,2024,Q1,February,2,Thursday,No,Winter,Regular
23.02.2024,2024,Q1,February,2,Friday,No,Winter,Regular
24.02.2024,2024,Q1,February,2,Saturday,Yes,Winter,Regular
25.02.2024,2024,Q1,February,2,Sunday,Yes,Winter,Regular
26.02.2024,2024,Q1,February,2,Monday,No,Winter,Regular
27.02.2024,2024,Q1,February,2,Tuesday,No,Winter,Regular
28.02.2024,2024,Q1,February,2,Wednesday,No,Winter,Regular
29.02.2024,2024,Q1,February,2,Thursday,No,Winter,Regular
01.03.2024,2024,Q1,March,3,Friday,No,Summer,Regular
02.03.2024,2024,Q1,March,3,Saturday,Yes,Summer,Regular
03.03.2024,2024,Q1,March,3,Sunday,Yes,Summer,Regular
04.03.2024,2024,Q1,March,3,Monday,No,Summer,Regular
05.03.2024,2024,Q1,March,3,Tuesday,No,Summer,Regular
06.03.2024,2024,Q1,March,3,Wednesday,No,Summer,Regular
07.03.2024,2024,Q1,March,3,Thursday,No,Summer,Regular
08.03.2024,2024,Q1,March,3,Friday,No,Summer,Regular
09.03.2024,2024,Q1,March,3,Saturday,Yes,Summer,Regular
10.03.2024,2024,Q1,March,3,Sunday,Yes,Summer,Regular
11.03.2024,2024,Q1,March,3,Monday,No,Summer,Regular
12.03.2024,2024,Q1,March,3,Tuesday,No,Summer,Regular
13.03.2024,2024,Q1,March,3,Wednesday,No,Summer,Regular
14.03.2024,2024,Q1,March,3,Thursday,No,Summer,Regular
15.03.2024,2024,Q1,March,3,Friday,No,Summer,Regular
16.03.2024,2024,Q1,March,3,Saturday,Yes,Summer,Regular
17.03.2024,2024,Q1,March,3,Sunday,Yes,Summer,Regular
18.03.2024,2024,Q1,March,3,Monday,No,Summer,Regular
19.03.2024,2024,Q1,March,3,Tuesday,No,Summer,Regular
20.03.2024,2024,Q1,March,3,Wednesday,No,Summer,Regular
21.03.2024,2024,Q1,March,3,Thursday,No,Summer,Regular
22.03.2024,2024,Q1,March,3,Friday,No,Summer,Regular
23.03.2024,2024,Q1,March,3,Saturday,Yes,Summer,Regular
24.03.2024,2024,Q1,March,3,Sunday,Yes,Summer,Regular
25.03.2024,2024,Q1,March,3,Monday,No,Summer,Regular
26.03.2024,2024,Q1,March,3,Tuesday,No,Summer,Regular
27.03.2024,2024,Q1,March,3,Wednesday,No,Summer,Regular
28.03.2024,2024,Q1,March,3,Thursday,No,Summer,Regular
29.03.2024,2024,Q1,March,3,Friday,No,Summer,Regular
30.03.2024,2024,Q1,March,3,Saturday,Yes,Summer,Regular
31.03.2024,2024,Q1,March,3,Sunday,Yes,Summer,Regular
01.04.2024,2024,Q2,April,4,Monday,No,Summer,Regular
02.04.2024,2024,Q2,April,4,Tuesday,No,Summer,Regular
03.04.2024,2024,Q2,April,4,Wednesday,No,Summer,Regular
04.04.2024,2024,Q2,April,4,Thursday,No,Summer,Regular
05.04.2024,2024,Q2,April,4,Friday,No,Summer,Regular
06.04.2024,2024,Q2,April,4,Saturday,Yes,Summer,Regular
07.04.2024,2024,Q2,April,4,Sunday,Yes,Summer,Regular
08.04.2024,2024,Q2,April,4,Monday,No,Summer,Regular
09.04.2024,2024,Q2,April,4,Tuesday,No,Summer,Regular
10.04.2024,2024,Q2,April,4,Wednesday,No,Summer,Regular
11.04.2024,2024,Q2,April,4,Thursday,No,Summer,Regular
12.04.2024,2024,Q2,April,4,Friday,No,Summer,Regular
13.04.2024,2024,Q2,April,4,Saturday,Yes,Summer,Regular
14.04.2024,2024,Q2,April,4,Sunday,Yes,Summer,Regular
15.04.2024,2024,Q2,April,4,Monday,No,Summer,Regular
16.04.2024,2024,Q2,April,4,Tuesday,No,Summer,Regular
17.04.2024,2024,Q2,April,4,Wednesday,No,Summer,Regular
18.04.2024,2024,Q2,April,4,Thursday,No,Summer,Regular
19.04.2024,2024,Q2,April,4,Friday,No,Summer,Regular
20.04.2024,2024,Q2,April,4,Saturday,Yes,Summer,Regular
21.04.2024,2024,Q2,April,4,Sunday,Yes,Summer,Regular
22.04.2024,2024,Q2,April,4,Monday,No,Summer,Regular
23.04.2024,2024,Q2,April,4,Tuesday,No,Summer,Regular
24.04.2024,2024,Q2,April,4,Wednesday,No,Summer,Regular
25.04.2024,2024,Q2,April,4,Thursday,No,Summer,Regular
26.04.2024,2024,Q2,April,4,Friday,No,Summer,Regular
27.04.2024,2024,Q2,April,4,Saturday,Yes,Summer,Regular
28.04.2024,2024,Q2,April,4,Sunday,Yes,Summer,Regular
29.04.2024,2024,Q2,April,4,Monday,No,Summer,Regular
30.04.2024,2024,Q2,April,4,Tuesday,No,Summer,Regular
01.05.2024,2024,Q2,May,5,Wednesday,No,Summer,Regular
02.05.2024,2024,Q2,May,5,Thursday,No,Summer,Regular
03.05.2024,2024,Q2,May,5,Friday,No,Summer,Regular
04.05.2024,2024,Q2,May,5,Saturday,Yes,Summer,Regular
05.05.2024,2024,Q2,May,5,Sunday,Yes,Summer,Regular
06.05.2024,2024,Q2,May,5,Monday,No,Summer,Regular
07.05.2024,2024,Q2,May,5,Tuesday,No,Summer,Regular
08.05.2024,2024,Q2,May,5,Wednesday,No,Summer,Regular
09.05.2024,2024,Q2,May,5,Thursday,No,Summer,Regular
10.05.2024,2024,Q2,May,5,Friday,No,Summer,Regular
11.05.2024,2024,Q2,May,5,Saturday,Yes,Summer,Regular
12.05.2024,2024,Q2,May,5,Sunday,Yes,Summer,Regular
13.05.2024,2024,Q2,May,5,Monday,No,Summer,Regular
14.05.2024,2024,Q2,May,5,Tuesday,No,Summer,Regular
15.05.2024,2024,Q2,May,5,Wednesday,No,Summer,Regular
16.05.2024,2024,Q2,May,5,Thursday,No,Summer,Regular
17.05.2024,2024,Q2,May,5,Friday,No,Summer,Regular
18.05.2024,2024,Q2,May,5,Saturday,Yes,Summer,Regular
19.05.2024,2024,Q2,May,5,Sunday,Yes,Summer,Regular
20.05.2024,2024,Q2,May,5,Monday,No,Summer,Regular
21.05.2024,2024,Q2,May,5,Tuesday,No,Summer,Regular
22.05.2024,2024,Q2,May,5,Wednesday,No,Summer,Regular
23.05.2024,2024,Q2,May,5,Thursday,No,Summer,Regular
24.05.2024,2024,Q2,May,5,Friday,No,Summer,Regular
25.05.2024,2024,Q2,May,5,Saturday,Yes,Summer,Regular
26.05.2024,2024,Q2,May,5,Sunday,Yes,Summer,Regular
27.05.2024,2024,Q2,May,5,Monday,No,Summer,Regular
28.05.2024,2024,Q2,May,5,Tuesday,No,Summer,Regular
29.05.2024,2024,Q2,May,5,Wednesday,No,Summer,Regular
30.05.2024,2024,Q2,May,5,Thursday,No,Summer,Regular
