product_id,category,sub_category,brand,cost_price,selling_price,selling_price_bucket,Category_Price,product_name
PROD0001,Home & Kitchen,Furniture,Prestige,23858.26,35154.87,High Price,High Profit,Prestige Furniture 
PROD0002,Electronics,Mobiles,Dell,21238.8,44634.91,Premium Price,High Profit,Dell Mobiles 
PROD0003,Electronics,Laptops,Dell,6929.87,9020.39,Low Price,Mid Profit,Dell Laptops 
PROD0004,Electronics,Accessories,Apple,21655.13,45361.17,Premium Price,High Profit,Apple Accessories 
PROD0005,Electronics,Mobiles,Samsung,17639.58,38734.15,High Price,High Profit,Samsung Mobiles 
PROD0006,Electronics,Skincare,Lakme,3344.8,6848.25,Low Price,Mid Profit,Lakme Skincare 
PROD0007,Electronics,Accessories,Samsung,8653.88,14770.38,Mid Price,High Profit,Samsung Accessories 
PROD0008,Electronics,Accessories,Apple,27456.35,45552.61,Premium Price,High Profit,Apple Accessories 
PROD0009,Fashion,Footwear,Puma,3424.66,6280.07,Low Price,Mid Profit,Puma Footwear 
PROD0010,Electronics,Mobiles,Apple,192.3,418.2,Very Low Price,Low Profit,Apple Mobiles 
PROD0011,Sports,Fitness,Reebok,13598.63,21610.31,Mid Price,High Profit,Reebok Fitness 
PROD0012,Beauty,Skincare,Lakme,7329.63,12573.08,Mid Price,High Profit,Lakme Skincare 
PROD0013,Sports,Outdoor,Decathlon,3578.6,5258.11,Low Price,Mid Profit,Decathlon Outdoor 
PROD0014,Electronics,Accessories,Dell,9974.17,19691.02,Mid Price,High Profit,Dell Accessories 
PROD0015,Fashion,Men Clothing,Nike,13031.41,24919.94,Mid Price,High Profit,Nike Men Clothing 
PROD0016,Sports,Fitness,Decathlon,7242.63,14677.25,Mid Price,High Profit,Decathlon Fitness 
PROD0017,Sports,Fitness,Reebok,21394.67,39058.45,High Price,High Profit,Reebok Fitness 
PROD0018,Sports,Outdoor,Reebok,28285.93,47788.27,Premium Price,High Profit,Reebok Outdoor 
PROD0019,Beauty,Makeup,Loreal,5466.04,7844.21,Low Price,Mid Profit,Loreal Makeup 
PROD0020,Home & Kitchen,Furniture,Philips,27839,36704.55,High Price,High Profit,Philips Furniture 
PROD0021,Fashion,Footwear,Puma,4840.02,0,Very Low Price,Low Profit,Puma Footwear 
PROD0022,Sports,Outdoor,Reebok,23934.1,43001.98,Premium Price,High Profit,Reebok Outdoor 
PROD0023,Beauty,Makeup,Lakme,15190.51,22778.66,Mid Price,High Profit,Lakme Makeup 
PROD0024,Electronics,Accessories,Samsung,9324.77,12351.11,Mid Price,Mid Profit,Samsung Accessories 
PROD0025,Fashion,Men Clothing,Nike,26236.71,34989.79,High Price,High Profit,Nike Men Clothing 
PROD0026,Beauty,Makeup,Lakme,14244.17,22550.76,Mid Price,High Profit,Lakme Makeup 
PROD0027,Electronics,Accessories,Dell,5483.35,9793.3,Low Price,Mid Profit,Dell Accessories 
PROD0028,Home & Kitchen,Appliances,Prestige,28678.41,36502.66,High Price,High Profit,Prestige Appliances 
PROD0029,Sports,Outdoor,Reebok,3596.77,7689.93,Low Price,Mid Profit,Reebok Outdoor 
PROD0030,Electronics,Mobiles,Samsung,2087.9,3465.89,Low Price,Mid Profit,Samsung Mobiles 
PROD0032,Home & Kitchen,Appliances,Prestige,15071.94,23908.89,Mid Price,High Profit,Prestige Appliances 
PROD0033,Beauty,Makeup,Lakme,21261.23,41901.35,Premium Price,High Profit,Lakme Makeup 
PROD0034,Beauty,Makeup,Lakme,523.48,834.46,Very Low Price,Low Profit,Lakme Makeup 
PROD0035,Sports,Fitness,Reebok,9844.97,17826.77,Mid Price,High Profit,Reebok Fitness 
PROD0036,Electronics,Mobiles,Samsung,26627.51,38634.63,High Price,High Profit,Samsung Mobiles 
PROD0037,Fashion,Footwear,Puma,2752.49,4288.46,Low Price,Mid Profit,Puma Footwear 
PROD0038,Beauty,Makeup,Lakme,30668.31,39912.45,High Price,High Profit,Lakme Makeup 
PROD0039,Fashion,Men Clothing,Puma,80.03,109.23,Very Low Price,Low Profit,Puma Men Clothing 
PROD0040,Sports,Outdoor,Decathlon,1555.23,2258.07,Low Price,Low Profit,Decathlon Outdoor 
PROD0041,Beauty,Makeup,Loreal,23449.61,29940.55,High Price,High Profit,Loreal Makeup 
PROD0042,Home & Kitchen,Appliances,Philips,15008.13,31630.77,High Price,High Profit,Philips Appliances 
PROD0043,Fashion,Footwear,Nike,18092.45,33552.86,High Price,High Profit,Nike Footwear 
PROD0044,Fashion,Footwear,Nike,19184.55,41614.01,Premium Price,High Profit,Nike Footwear 
PROD0045,Electronics,Laptops,Dell,11176.47,16274.38,Mid Price,High Profit,Dell Laptops 
PROD0046,Fashion,Men Clothing,Puma,5319.07,7866.18,Low Price,Mid Profit,Puma Men Clothing 
PROD0047,Electronics,Mobiles,Samsung,24662.1,34891.52,High Price,High Profit,Samsung Mobiles 
PROD0048,Sports,Outdoor,Reebok,26031.49,43779.23,Premium Price,High Profit,Reebok Outdoor 
PROD0049,Fashion,Footwear,Puma,3901.34,7209.9,Low Price,Mid Profit,Puma Footwear 
PROD0050,Sports,Outdoor,Reebok,9168.74,19545.3,Mid Price,High Profit,Reebok Outdoor 
PROD0051,Beauty,Makeup,Lakme,16737.42,35456.59,High Price,High Profit,Lakme Makeup 
PROD0052,Beauty,Makeup,Lakme,2313.34,2979.67,Low Price,Low Profit,Lakme Makeup 
PROD0053,Fashion,Footwear,Nike,21730.23,40331.67,Premium Price,High Profit,Nike Footwear 
PROD0054,Beauty,Skincare,Lakme,12675.99,17151.23,Mid Price,Mid Profit,Lakme Skincare 
PROD0055,Home & Kitchen,Furniture,Philips,16824.27,30999.85,High Price,High Profit,Philips Furniture 
PROD0056,Electronics,Accessories,Apple,16867.07,22506.06,Mid Price,High Profit,Apple Accessories 
PROD0057,Sports,Fitness,Reebok,107.24,134.5,Very Low Price,Low Profit,Reebok Fitness 
PROD0058,Sports,Fitness,Decathlon,14558.5,28340.08,High Price,High Profit,Decathlon Fitness 
PROD0059,Fashion,Men Clothing,Nike,19080.85,40029.62,Premium Price,High Profit,Nike Men Clothing 
PROD0060,Home & Kitchen,Appliances,Prestige,13375.61,20559,Mid Price,High Profit,Prestige Appliances 
PROD0061,Beauty,Skincare,Lakme,9448.5,12435,Mid Price,Mid Profit,Lakme Skincare 
PROD0062,Beauty,Makeup,Loreal,17669.07,34875.01,High Price,High Profit,Loreal Makeup 
PROD0063,Beauty,Makeup,Lakme,3638.85,7714.72,Low Price,Mid Profit,Lakme Makeup 
PROD0064,Fashion,Footwear,Puma,14753.71,28617.78,High Price,High Profit,Puma Footwear 
PROD0065,Home & Kitchen,Appliances,Philips,20037.58,27194.84,High Price,High Profit,Philips Appliances 
PROD0066,Sports,Fitness,Decathlon,21577.73,43971.33,Premium Price,High Profit,Decathlon Fitness 
PROD0067,Sports,Outdoor,Decathlon,9941.83,16678.65,Mid Price,High Profit,Decathlon Outdoor 
PROD0068,Sports,Fitness,Reebok,11473.94,19232.53,Mid Price,High Profit,Reebok Fitness 
PROD0069,Electronics,Accessories,Samsung,16478.39,23053.38,Mid Price,High Profit,Samsung Accessories 
PROD0070,Sports,Outdoor,Decathlon,8749.83,15345.24,Mid Price,High Profit,Decathlon Outdoor 
PROD0071,Home & Kitchen,Furniture,Prestige,9843.89,19573.21,Mid Price,High Profit,Prestige Furniture 
PROD0072,Fashion,Footwear,Nike,18620.54,31555.63,High Price,High Profit,Nike Footwear 
PROD0073,Beauty,Skincare,Lakme,33789.1,45816.01,Premium Price,High Profit,Lakme Skincare 
PROD0074,Sports,Outdoor,Reebok,6196.3,11585.98,Mid Price,High Profit,Reebok Outdoor 
PROD0075,Electronics,Mobiles,Samsung,25279.86,39135.3,High Price,High Profit,Samsung Mobiles 
PROD0076,Beauty,Makeup,Lakme,408.65,609.51,Very Low Price,Low Profit,Lakme Makeup 
PROD0077,Sports,Outdoor,Reebok,14355.99,19806.15,Mid Price,High Profit,Reebok Outdoor 
