order_id,order_date,order_time,customer_id,product_id,store_id,sales_channel,quantity,unit_price,discount_pct,sales_amount,payment_method,total_price,order_month,weekdays/weekends,revenue_bucket,order_weekname,order_hourly,hourly_bucket
ORD000001,9/1/2025,4:25:00 PM,CUST02281,PROD0100,STR009,Online,4,35910.88,15,122096.99,Card,143643.52,September,Weekday,Very High Revenue,Monday,16,Afternoon
ORD000002,8/23/2025,11:04:00 AM,CUST01960,PROD0070,STR002,Offline,5,15345.24,0,76726.2,UPI,76726.2,August,Weekend,High Revnue,Saturday,11,Morning
ORD000003,12/1/2024,10:25:00 PM,CUST02026,PROD0248,STR001,Offline,3,6525.56,10,17619.01,Card,19576.68,December,Weekend,Medium Revenue,Sunday,22,Evening
ORD000004,11/23/2025,2:48:00 PM,CUST00889,PROD0232,STR002,Offline,3,19148.56,5,54573.4,Card,57445.68,November,Weekend,High Revnue,Sunday,14,Afternoon
ORD000005,5/18/2024,1:20:00 PM,CUST00589,PROD0055,STR006,Offline,4,30999.85,0,123999.4,UPI,123999.4,May,Weekend,Very High Revenue,Saturday,13,Afternoon
ORD000006,12/5/2024,10:11:00 PM,CUST02042,PROD0024,STR005,Online,5,12351.11,15,52492.22,Card,61755.55,December,Weekday,High Revnue,Thursday,22,Evening
ORD000007,11/2/2024,4:29:00 PM,CUST01676,PROD0173,STR010,Online,4,16649.33,0,66597.32,Card,66597.32,November,Weekend,High Revnue,Saturday,16,Afternoon
ORD000008,2/11/2025,10:41:00 PM,CUST00392,PROD0215,STR012,Online,1,40164.01,0,40164.01,Cash,40164.01,February,Weekday,Medium Revenue,Tuesday,22,Evening
ORD000009,6/25/2024,9:38:00 AM,CUST02374,PROD0217,STR004,Online,5,36137.64,5,171653.79,UPI,180688.2,June,Weekday,Very High Revenue,Tuesday,9,Morning
ORD000010,5/14/2024,2:17:00 PM,CUST00907,PROD0163,STR008,Offline,1,28508.18,15,24231.95,Cash,28508.18,May,Weekday,Medium Revenue,Tuesday,14,Afternoon
ORD000011,12/24/2025,11:09:00 AM,CUST00985,PROD0215,STR006,Offline,3,40164.01,20,96393.62,Card,120492.03,December,Weekday,High Revnue,Wednesday,11,Morning
ORD000012,10/2/2024,8:32:00 PM,CUST01640,PROD0058,STR005,Online,4,28340.08,10,102024.29,UPI,113360.32,October,Weekday,Very High Revenue,Wednesday,20,Evening
ORD000013,12/31/2024,2:33:00 PM,CUST02000,PROD0176,STR013,Online,2,5123.33,10,9221.99,Card,10246.66,December,Weekday,Low Revenue,Tuesday,14,Afternoon
ORD000014,11/23/2025,3:48:00 PM,CUST01372,PROD0139,STR001,Offline,2,49672.37,0,99344.74,UPI,99344.74,November,Weekend,High Revnue,Sunday,15,Afternoon
ORD000015,10/2/2024,10:08:00 PM,CUST00646,PROD0201,STR003,Online,1,29068.51,0,29068.51,UPI,29068.51,October,Weekday,Medium Revenue,Wednesday,22,Evening
ORD000016,10/31/2024,12:28:00 PM,CUST01091,PROD0112,STR007,Online,2,28889.86,15,49112.76,Cash,57779.72,October,Weekday,Medium Revenue,Thursday,12,Afternoon
ORD000017,2/27/2025,9:19:00 AM,CUST01252,PROD0236,STR010,Offline,4,39562.5,5,150337.5,Cash,158250,February,Weekday,Very High Revenue,Thursday,9,Morning
ORD000018,3/3/2024,4:34:00 PM,CUST00306,PROD0159,STR006,Online,4,27718.93,5,105331.93,UPI,110875.72,March,Weekend,Very High Revenue,Sunday,16,Afternoon
ORD000019,1/22/2024,8:41:00 AM,CUST01210,PROD0168,STR008,Offline,3,10753.72,5,30648.1,UPI,32261.16,January,Weekday,Medium Revenue,Monday,8,Morning
ORD000020,5/2/2025,7:21:00 PM,CUST00300,PROD0222,STR009,Online,2,44745.71,15,76067.71,Cash,89491.42,May,Weekday,High Revnue,Friday,19,Evening
ORD000021,11/2/2024,10:40:00 AM,CUST00394,PROD0013,STR010,Online,3,5258.11,15,13408.18,UPI,15774.33,November,Weekend,Medium Revenue,Saturday,10,Morning
ORD000022,3/13/2024,1:26:00 PM,CUST01666,PROD0208,STR007,Offline,2,25654.22,10,46177.6,UPI,51308.44,March,Weekday,Medium Revenue,Wednesday,13,Afternoon
ORD000023,9/19/2024,1:53:00 PM,CUST01706,PROD0188,STR012,Offline,4,10731.7,5,40780.46,Cash,42926.8,September,Weekday,Medium Revenue,Thursday,13,Afternoon
ORD000024,6/26/2025,7:35:00 PM,CUST01815,PROD0061,STR011,Offline,5,12435,20,49740,UPI,62175,June,Weekday,Medium Revenue,Thursday,19,Evening
ORD000025,8/25/2025,2:46:00 PM,CUST02320,PROD0180,STR005,Online,5,17788.48,15,75601.04,Cash,88942.4,August,Weekday,High Revnue,Monday,14,Afternoon
ORD000026,1/5/2025,7:36:00 PM,CUST00292,PROD0236,STR014,Offline,1,39562.5,0,39562.5,Card,39562.5,January,Weekend,Medium Revenue,Sunday,19,Evening
ORD000027,7/21/2024,5:44:00 PM,CUST02400,PROD0165,STR011,Online,2,13743.67,5,26112.97,UPI,27487.34,July,Weekend,Medium Revenue,Sunday,17,Evening
ORD000028,10/19/2025,9:24:00 PM,CUST01835,PROD0165,STR014,Online,5,13743.67,10,61846.52,UPI,68718.35,October,Weekend,High Revnue,Sunday,21,Evening
ORD000029,7/9/2024,11:09:00 AM,CUST00240,PROD0242,STR014,Offline,2,43043.9,15,73174.63,UPI,86087.8,July,Weekday,High Revnue,Tuesday,11,Morning
ORD000030,8/23/2025,1:23:00 PM,CUST01584,PROD0177,STR005,Offline,1,11854.41,15,10076.25,Cash,11854.41,August,Weekend,Medium Revenue,Saturday,13,Afternoon
