product_id,product_name,category,sub_category,brand,cost_price,selling_price
PROD0001,Prestige Furniture 1,Home & Kitchen,Furniture,Prestige,23858.26,35154.87
PROD0002,Dell Mobiles 2,Electronics,Mobiles,Dell,21238.8,44634.91
PROD0003,Dell Laptops 3,Electronics,Laptops,Dell,6929.87,9020.39
PROD0004,Apple Accessories 4,Electronics,Accessories,Apple,21655.13,45361.17
PROD0005,Samsung Mobiles 5,Electronics,Mobiles,Samsung,17639.58,38734.15
PROD0006,Lakme Skincare 6,electronics,Skincare,Lakme,3344.8,6848.25
PROD0007,Samsung Accessories 7,Electronics,Accessories,Samsung,8653.88,14770.38
PROD0008,Apple Accessories 8,Electronics,Accessories,Apple,27456.35,45552.61
PROD0009,Puma Footwear 9,Fashion,Footwear,Puma,3424.66,6280.07
PROD0010,Apple Mobiles 10,Electronics,Mobiles,Apple,192.3,418.2
PROD0011,Reebok Fitness 11,Sports,Fitness,Reebok,13598.63,21610.31
PROD0012,Lakme Skincare 12,Beauty,Skincare,Lakme,7329.63,12573.08
PROD0013,Decathlon Outdoor 13,Sports,Outdoor,Decathlon,3578.6,5258.11
PROD0014,Dell Accessories 14,Electronics,Accessories,Dell,9974.17,19691.02
PROD0015,Nike Men Clothing 15,Fashion,Men Clothing,Nike,13031.41,24919.94
PROD0016,Decathlon Fitness 16,Sports,Fitness,Decathlon,7242.63,14677.25
PROD0017,Reebok Fitness 17,Sports,Fitness,Reebok,21394.67,39058.45
PROD0018,Reebok Outdoor 18,Sports,Outdoor,Reebok,28285.93,47788.27
PROD0019,Loreal Makeup 19,Beauty,Makeup,Loreal,5466.04,7844.21
PROD0020,Philips Furniture 20,Home & Kitchen,Furniture,Philips,27839.0,36704.55
PROD0021,Puma Footwear 21,Fashion,Footwear,Puma,4840.02,
PROD0022,Reebok Outdoor 22,Sports,Outdoor,Reebok,23934.1,43001.98
PROD0023,Lakme Makeup 23,Beauty,Makeup,Lakme,15190.51,22778.66
PROD0024,Samsung Accessories 24,Electronics,Accessories,Samsung,9324.77,12351.11
PROD0025,Nike Men Clothing 25,Fashion,Men Clothing,Nike,26236.71,34989.79
PROD0026,Lakme Makeup 26,Beauty,Makeup,Lakme,14244.17,22550.76
PROD0027,Dell Accessories 27,Electronics,Accessories,Dell,5483.35,9793.3
