inventory_id,product_id,store_id,stock_received,stock_sold,current_stock,reorder_level,inventory_date
INV00001,PROD0016,STR010,280,4,301,22.0,2024-07-04
INV00002,PROD0090,STR009,59,112,310,52.0,2024-08-11
INV00003,PROD0216,STR003,136,74,326,67.0,2024-09-14
INV00004,PROD0042,STR003,262,65,231,50.0,2024-10-05
INV00005,PROD0012,STR012,126,250,6,32.0,2025-04-12
INV00006,PROD0232,STR006,93,8,185,71.0,2024-03-30
INV00007,PROD0243,STR008,288,0,87,26.0,2024-08-09
INV00008,PROD0143,STR009,107,125,110,42.0,2025-03-02
INV00009,PROD0133,STR009,203,175,145,34.0,2025-06-12
INV00010,PROD0194,STR004,233,36,338,73.0,2024-03-25
INV00011,PROD0160,STR014,103,229,280,11.0,2024-08-12
INV00012,PROD0045,STR004,427,69,244,44.0,2024-05-16
INV00013,PROD0181,STR001,373,291,259,24.0,2024-05-22
INV00014,PROD0157,STR007,220,105,273,26.0,2025-11-25
INV00015,PROD0162,STR001,238,109,104,13.0,2025-01-20
INV00016,PROD0102,STR002,43,248,-10,50.0,2024-03-12
INV00017,PROD0122,STR001,29,273,28,66.0,2024-11-28
INV00018,PROD0161,STR009,228,78,355,48.0,2025-07-10
INV00019,PROD0199,STR015,162,104,240,64.0,2024-02-02
INV00020,PROD0242,STR006,114,36,6,69.0,2024-06-04
INV00021,PROD0098,STR009,258,136,330,66.0,2024-11-30
INV00022,PROD0047,STR002,199,96,158,18.0,2024-06-25
INV00023,PROD0072,STR002,436,223,18,35.0,2024-05-04
INV00024,PROD0048,STR004,250,179,197,50.0,2025-02-09
INV00025,PROD0187,STR014,175,192,364,73.0,2025-04-06
INV00026,PROD0242,STR015,73,261,19,47.0,2025-09-06
INV00027,PROD0197,STR008,132,295,33,76.0,2024-02-18
INV00028,PROD0115,STR007,414,141,385,60.0,2024-09-11
INV00029,PROD0211,STR002,394,51,99,72.0,2024-07-01
INV00030,PROD0093,STR001,400,220,142,60.0,2024-06-22
INV00031,PROD0095,STR009,437,285,397,18.0,2025-10-12
INV00032,PROD0120,STR005,333,50,223,63.0,2024-02-23
INV00033,PROD0102,STR013,305,296,334,71.0,2025-09-05
INV00034,PROD0046,STR003,340,206,334,63.0,2024-09-01
INV00035,PROD0150,STR008,191,167,369,19.0,2025-08-31
INV00036,PROD0005,STR014,259,278,339,76.0,2025-06-12
INV00037,PROD0164,STR002,173,11,117,50.0,2024-03-19
INV00038,PROD0221,STR007,413,183,253,69.0,2024-06-13
INV00039,PROD0174,STR006,434,256,151,39.0,2025-11-12
INV00040,PROD0096,STR006,280,126,80,13.0,2025-07-19
INV00041,PROD0081,STR007,44,195,367,,2024-03-16
INV00042,PROD0112,STR014,315,21,354,50.0,2024-10-04
INV00043,PROD0165,STR001,60,79,66,47.0,2024-09-13
INV00044,PROD0097,STR007,125,161,382,37.0,2024-04-12
INV00045,PROD0182,STR012,367,253,286,24.0,2024-08-03
INV00046,PROD0183,STR015,435,159,49,42.0,2025-01-30
INV00047,PROD0065,STR010,28,115,49,26.0,2024-07-27
INV00048,PROD0123,STR014,47,204,358,70.0,2024-04-14
INV00049,PROD0083,STR015,490,178,131,22.0,2024-04-02
INV00050,PROD0102,STR014,192,256,235,51.0,2025-07-06
INV00051,PROD0236,STR010,480,238,252,15.0,2024-03-19
INV00052,PROD0070,STR004,33,27,73,45.0,2024-06-09
INV00053,PROD0182,STR013,133,297,30,48.0,2024-07-08
INV00054,PROD0155,STR009,230,230,318,62.0,2024-03-10
INV00055,PROD0059,STR006,141,179,394,56.0,2024-10-28
INV00056,PROD0007,STR004,389,133,5,21.0,2024/07/15
INV00057,PROD0137,STR001,45,229,277,22.0,2024-08-19
INV00058,PROD0123,STR003,262,202,43,52.0,2025-07-31
INV00059,PROD0235,STR014,487,124,141,75.0,2024-06-04
INV00060,PROD0240,STR001,447,231,223,46.0,2024-07-23
INV00061,PROD0022,STR015,221,13,360,55.0,2024-11-03
INV00062,PROD0154,STR009,451,144,233,35.0,2025-02-19
INV00063,PROD0129,STR015,440,104,131,68.0,2025-11-09
INV00064,PROD0246,STR014,491,205,121,25.0,2024-02-02
INV00065,PROD0171,STR002,489,291,100,74.0,2024-12-11
INV00066,PROD0194,STR014,194,176,53,25.0,2025-03-20
INV00067,PROD0234,STR003,165,2,149,18.0,2024-09-28
INV00068,PROD0012,STR004,24,288,364,62.0,2024-07-17
INV00069,PROD0192,STR008,222,110,227,52.0,2024-06-27
INV00070,PROD0063,STR002,305,219,82,41.0,2024-10-22
INV00071,PROD0078,STR005,351,172,93,26.0,2025-03-12
INV00072,PROD0023,STR001,197,98,260,77.0,2025-06-12
INV00073,PROD0148,STR004,65,21,335,18.0,2024-05-24
INV00074,PROD0137,STR009,241,271,181,32.0,2024-08-11
INV00075,PROD0035,STR007,182,33,205,21.0,2024-05-20
INV00076,PROD0076,STR009,378,91,117,11.0,2025-08-22
INV00077,PROD0032,STR007,321,108,66,60.0,2025-03-25
INV00078,PROD0229,STR004,65,170,255,32.0,2025-07-02
INV00079,PROD0195,STR009,139,238,8,27.0,2024-06-11
INV00080,PROD0220,STR002,289,258,143,25.0,2024-08-29
INV00081,PROD0225,STR008,194,237,282,36.0,2024-03-01
INV00082,PROD0006,STR008,439,245,94,21.0,2024-02-07
INV00083,PROD0023,STR014,304,236,224,31.0,2024-10-02
INV00084,PROD0146,STR007,252,256,245,23.0,2025-06-02
INV00085,PROD0011,STR003,325,41,200,78.0,2024-01-10
INV00086,PROD0040,STR008,93,216,88,34.0,2024-03-22
INV00087,PROD0047,STR008,337,205,0,66.0,2024-09-04
INV00088,PROD0032,STR001,207,198,8,44.0,2025-03-04
INV00089,PROD0019,STR002,341,104,309,37.0,2025-11-12
INV00090,PROD0044,STR012,435,261,359,23.0,2025-03-27
INV00091,PROD0058,STR006,395,53,286,71.0,2025-04-24
INV00092,PROD0029,STR003,264,135,372,41.0,2024-01-03
INV00093,PROD0023,STR014,213,147,286,60.0,2025-11-08
INV00094,PROD0121,STR004,91,143,317,50.0,2025-03-15
INV00095,PROD0204,STR013,310,82,105,46.0,2024-10-10
INV00096,PROD0138,STR014,202,39,342,78.0,2024-02-21
INV00097,PROD0221,STR002,357,131,152,25.0,2025-11-08
INV00098,PROD0030,STR009,283,281,74,56.0,2025-07-07
INV00099,PROD0085,STR006,320,40,340,54.0,2025-10-23
INV00100,PROD0051,STR014,451,121,384,36.0,2025-08-07
INV00101,PROD0232,STR008,123,166,247,48.0,2024-05-27
INV00102,PROD0109,STR012,425,70,231,16.0,2024-05-19
INV00103,PROD0062,STR015,397,71,20,59.0,2024-07-09
INV00104,PROD0061,STR012,37,268,39,44.0,2025-05-24
INV00105,PROD0049,STR006,167,256,346,70.0,2025-10-24
INV00106,PROD0038,STR002,134,101,385,31.0,2024-07-06
INV00107,PROD0010,STR012,370,123,280,14.0,2025-05-17
INV00108,PROD0105,STR008,107,160,35,17.0,2024-03-07
INV00109,PROD0046,STR011,411,193,122,14.0,2024-04-09
INV00110,PROD0211,STR012,195,180,257,36.0,2025-10-20
INV00111,PROD0067,STR015,304,99,235,39.0,2024-05-23
INV00112,PROD0226,STR011,259,177,18,25.0,2024-05-22
INV00113,PROD0016,STR012,300,44,360,13.0,2024-05-27
INV00114,PROD0216,STR003,417,9,338,63.0,2025-03-23
INV00115,PROD0017,STR010,73,251,276,41.0,2025-05-05
INV00116,PROD0075,STR005,407,32,42,47.0,2025-11-29
INV00117,PROD0206,STR001,353,289,37,66.0,2024-05-16
INV00118,PROD0044,STR004,161,191,161,60.0,2025-01-15
INV00119,PROD0057,STR004,243,247,205,18.0,2025-08-21
INV00120,PROD0205,STR009,189,74,276,65.0,2025-05-12
INV00121,PROD0037,STR009,273,87,150,36.0,2024-03-21
INV00122,PROD0032,STR005,302,239,183,71.0,2025-11-08
INV00123,PROD0121,STR012,434,79,323,52.0,2025-11-18
INV00124,PROD0163,STR001,422,140,9,10.0,2024-10-04
INV00125,PROD0182,STR012,280,188,62,71.0,2024-06-03
INV00126,PROD0072,STR009,438,47,350,16.0,2024-08-16
INV00127,PROD0199,STR008,318,288,232,26.0,2025-08-27
INV00128,PROD0122,STR004,303,231,305,74.0,2024-06-02
INV00129,PROD0123,STR008,283,30,57,38.0,2024-10-17
INV00130,PROD0109,STR004,34,42,98,32.0,2025-12-01
INV00131,PROD0075,STR009,317,61,397,77.0,2024-08-30
INV00132,PROD0192,STR012,276,47,176,27.0,2025-05-25
INV00133,PROD0169,STR008,242,218,236,45.0,2025-10-11
INV00134,PROD0066,STR001,424,131,384,19.0,2025-01-15
INV00135,PROD0215,STR004,163,42,5,55.0,2024-06-06
INV00136,PROD0236,STR011,24,265,256,76.0,2025-10-01
INV00137,PROD0019,STR004,271,134,25,78.0,2024-01-04
INV00138,PROD0087,STR001,86,62,219,33.0,2024-02-25
INV00139,PROD0110,STR009,154,164,119,34.0,2025-05-05
INV00140,PROD0223,STR009,481,207,397,28.0,2025-06-07
INV00141,PROD0063,STR009,113,143,362,40.0,2025-08-22
INV00142,PROD0211,STR004,50,141,396,42.0,2025-03-11
INV00143,PROD0223,STR005,234,48,391,48.0,2025-08-21
INV00144,PROD0022,STR011,82,269,323,51.0,2024-04-09
INV00145,PROD0165,STR014,77,107,104,55.0,2025-05-14
INV00146,PROD0164,STR005,375,230,325,55.0,2025-03-22
INV00147,PROD0029,STR015,60,50,18,33.0,2025-01-15
INV00148,PROD0107,STR009,340,137,117,39.0,2025-11-09
INV00149,PROD0249,STR008,480,8,205,68.0,2024-01-08
INV00150,PROD0127,STR006,200,216,163,23.0,2024-12-19
INV00151,PROD0182,STR009,372,196,39,27.0,2024-03-01
INV00152,PROD0046,STR006,166,216,55,70.0,2025-01-31
INV00153,PROD0074,STR008,296,236,238,69.0,2025-06-03
INV00154,PROD0227,STR010,316,213,247,66.0,2025-09-07
INV00155,PROD0046,STR009,322,25,257,35.0,2025-05-04
INV00156,PROD0007,STR015,421,216,221,50.0,2024-09-11
INV00157,PROD0159,STR015,497,8,215,53.0,2025-06-14
INV00158,PROD0120,STR012,100,187,74,59.0,2024-10-22
INV00159,PROD0143,STR014,471,54,41,61.0,2024-11-16
INV00160,PROD0234,STR011,349,280,301,21.0,2025-09-14
INV00161,PROD0223,STR006,418,89,171,28.0,2025-11-10
INV00162,PROD0064,STR006,399,269,109,17.0,2024-10-23
INV00163,PROD0230,STR005,454,72,106,73.0,2024-07-15
INV00164,PROD0142,STR001,247,296,364,46.0,2025-05-16
INV00165,PROD0170,STR009,446,80,42,47.0,2025-03-02
INV00166,PROD0174,STR002,285,4,287,44.0,2024-01-07
INV00167,PROD0025,STR013,203,269,324,13.0,2025-09-03
INV00168,PROD0211,STR009,101,77,37,78.0,2024-10-03
INV00169,PROD0034,STR013,169,206,99,41.0,2025-11-22
INV00170,PROD0204,STR014,94,54,387,58.0,2024-07-26
INV00171,PROD0235,STR002,67,295,215,78.0,2024-11-25
INV00172,PROD0250,STR013,236,163,10,64.0,2025-02-18
INV00173,PROD0012,STR004,340,63,125,65.0,2024-07-31
INV00174,PROD0117,STR005,496,203,290,55.0,2024-08-06
INV00175,PROD0045,STR010,275,280,305,14.0,2024-03-13
INV00176,PROD0201,STR003,345,51,218,12.0,2024-07-31
INV00177,PROD0182,STR003,283,136,1,56.0,2024-10-08
INV00178,PROD0171,STR013,238,179,95,29.0,2024-08-23
INV00179,PROD0165,STR010,391,143,167,70.0,2024-11-14
INV00180,PROD0093,STR001,23,237,332,44.0,2025-08-06
INV00181,PROD0236,STR012,27,293,285,50.0,2024-08-13
INV00182,PROD0194,STR009,63,164,90,66.0,2025-02-13
INV00183,PROD0135,STR013,388,72,238,69.0,2024-01-28
INV00184,PROD0044,STR001,383,106,148,42.0,2024-03-09
INV00185,PROD0058,STR014,397,147,147,21.0,2025-03-12
