order_id,order_date,order_time,customer_id,product_id,store_id,sales_channel,quantity,unit_price,discount_pct,sales_amount,payment_method
ORD000001,2025-09-01,16:25:00,CUST02281,PROD0100,STR009,Online,4,35910.88,15,122096.99,Card
ORD000002,2025-08-23,11:04:00,CUST01960,PROD0070,STR002,Offline,5,15345.24,0,76726.2,UPI
ORD000003,2024-12-01,22:25:00,CUST02026,PROD0248,STR001,Offline,3,6525.56,10,17619.01,Card
ORD000004,2025-11-23,14:48:00,CUST00889,PROD0232,STR002,Offline,3,19148.56,5,54573.4,Card
ORD000005,2024-05-18,13:20:00,CUST00589,PROD0055,STR006,Offline,4,30999.85,0,123999.4,UPI
ORD000006,2024-12-05,22:11:00,CUST02042,PROD0024,STR005,Online,5,12351.11,15,52492.22,Card
ORD000007,2024-11-02,16:29:00,CUST01676,PROD0173,STR010,Online,4,16649.33,0,66597.32,Card
ORD000008,2025-02-11,22:41:00,CUST00392,PROD0215,STR012,Online,1,40164.01,0,40164.01,Cash
ORD000009,2024-06-25,09:38:00,CUST02374,PROD0217,STR004,Online,5,36137.64,5,171653.79,UPI
ORD000010,2024-05-14,14:17:00,CUST00907,PROD0163,STR008,Offline,1,28508.18,15,24231.95,Cash
ORD000011,2025-12-24,11:09:00,CUST00985,PROD0215,STR006,Offline,3,40164.01,20,96393.62,Card
ORD000012,2024-10-02,20:32:00,CUST01640,PROD0058,STR005,Online,4,28340.08,10,102024.29,UPI
ORD000013,2024-12-31,14:33:00,CUST02000,PROD0176,STR013,Online,2,5123.33,10,9221.99,Card
ORD000014,2025-11-23,15:48:00,CUST01372,PROD0139,STR001,Offline,2,49672.37,0,99344.74,UPI
ORD000015,2024-10-02,22:08:00,CUST00646,PROD0201,STR003,Online,1,29068.51,0,29068.51,UPI
ORD000016,2024-10-31,12:28:00,CUST01091,PROD0112,STR007,Online,2,28889.86,15,49112.76,Cash
ORD000017,2025-02-27,09:19:00,CUST01252,PROD0236,STR010,Offline,4,39562.5,5,150337.5,Cash
ORD000018,2024-03-03,16:34:00,CUST00306,PROD0159,STR006,Online,4,27718.93,5,105331.93,UPI
ORD000019,2024-01-22,08:41:00,CUST01210,PROD0168,STR008,Offline,3,10753.72,5,30648.1,UPI
ORD000020,2025-05-02,19:21:00,CUST00300,PROD0222,STR009,Online,2,44745.71,15,76067.71,Cash
ORD000021,2024-11-02,10:40:00,CUST00394,PROD0013,STR010,Online,3,5258.11,15,13408.18,UPI
ORD000022,2024-03-13,13:26:00,CUST01666,PROD0208,STR007,Offline,2,25654.22,10,46177.6,UPI
ORD000023,2024-09-19,13:53:00,CUST01706,PROD0188,STR012,Offline,4,10731.7,5,40780.46,Cash
ORD000024,2025-06-26,19:35:00,CUST01815,PROD0061,STR011,Offline,5,12435.0,20,49740.0,UPI
ORD000025,2025-08-25,14:46:00,CUST02320,PROD0180,STR005,Online,5,17788.48,15,75601.04,Cash
ORD000026,2025-01-05,19:36:00,CUST00292,PROD0236,STR014,Offline,1,39562.5,0,39562.5,Card
ORD000027,2024-07-21,17:44:00,CUST02400,PROD0165,STR011,Online,2,13743.67,5,26112.97,UPI
ORD000028,2025-10-19,21:24:00,CUST01835,PROD0165,STR014,Online,5,13743.67,10,61846.52,UPI
ORD000029,2024-07-09,11:09:00,CUST00240,PROD0242,STR014,Offline,2,43043.9,15,73174.63,UPI
ORD000030,2025-08-23,13:23:00,CUST01584,PROD0177,STR005,Offline,1,11854.41,15,10076.25,Cash
ORD000031,2024-05-20,15:20:00,CUST01947,PROD0245,STR003,Offline,2,30217.68,0,60435.36,Card
ORD000032,2025-12-02,19:00:00,CUST00290,PROD0247,STR009,Online,1,42411.88,10,38170.69,UPI
ORD000033,2025-09-07,15:49:00,CUST00798,PROD0187,STR010,Online,1,40128.2,15,34108.97,UPI
ORD000034,2025-01-01,15:33:00,CUST01101,PROD0002,STR013,Offline,4,44634.91,0,178539.64,Cash
ORD000035,2024-12-01,15:12:00,CUST01068,PROD0016,STR001,Online,2,14677.25,20,23483.6,Cash
ORD000036,2025-03-08,19:01:00,CUST02237,PROD0138,STR004,Online,3,17340.85,0,52022.55,UPI
ORD000037,2025-05-27,09:35:00,CUST01069,PROD0207,STR001,Offline,2,47829.03,0,95658.06,Cash
ORD000038,2025-02-22,10:36:00,CUST00937,PROD0145,STR013,Online,4,44696.43,10,160907.15,UPI
ORD000039,2025-06-28,19:34:00,CUST01819,PROD0030,STR007,Offline,3,3465.89,15,8838.02,Cash
ORD000040,2024-03-21,08:46:00,CUST00452,PROD0001,STR012,Offline,1,35154.87,5,33397.13,Cash
ORD000041,2024-11-23,21:28:00,CUST01490,PROD0153,STR013,Offline,5,25869.99,15,109947.46,Card
ORD000042,2025-08-20,16:27:00,CUST02132,PROD0228,STR014,Offline,1,34080.69,20,27264.55,Card
ORD000043,2024-12-03,13:54:00,CUST01439,PROD0161,STR010,Offline,3,32239.94,20,77375.86,UPI
ORD000044,2025-12-18,11:26:00,CUST00207,PROD0242,STR009,Online,5,43043.9,20,172175.6,Card
ORD000045,2025-01-31,14:21:00,CUST02313,PROD0104,STR002,Online,1,13045.45,5,12393.18,UPI
ORD000046,2024-10-06,16:27:00,CUST00037,PROD0133,STR008,Online,3,45553.48,15,116161.37,Card
ORD000047,2025-11-12,13:49:00,CUST00771,PROD0108,STR015,Offline,4,28600.95,5,108683.61,Cash
ORD000048,2024-11-26,11:29:00,CUST01749,PROD0178,STR003,Offline,1,7000.19,15,5950.16,Cash
ORD000049,2025-02-11,18:46:00,CUST00906,PROD0185,STR013,Online,1,9417.58,20,7534.06,Cash
ORD000050,2025-05-10,16:01:00,CUST00877,PROD0243,STR004,Online,4,1959.27,15,6661.52,Cash
ORD000051,2025-10-26,19:23:00,CUST01910,PROD0162,STR015,Offline,-3,13543.24,5,51464.31,Card
ORD000052,2024-07-10,16:22:00,CUST01775,PROD0012,STR012,Online,3,12573.08,15,32061.35,Card
ORD000053,2025-11-04,19:34:00,CUST01928,PROD0236,STR007,Online,3,39562.5,0,118687.5,UPI
ORD000054,2025-03-09,15:37:00,CUST01794,PROD0166,STR015,Offline,1,5970.15,5,5671.64,Card
ORD000055,2024-10-31,11:26:00,CUST01441,PROD0045,STR012,Online,2,16274.38,10,29293.88,UPI
ORD000056,2024-10-17,15:59:00,CUST00400,PROD0082,STR013,Offline,2,7795.46,20,12472.74,UPI
ORD000057,2025-12-23,21:36:00,CUST01584,PROD0053,STR009,Online,5,40331.67,0,201658.35,Card
ORD000058,2025-12-07,18:35:00,CUST00587,PROD0160,STR003,Online,3,9116.44,5,25981.85,UPI
ORD000059,2025-02-11,16:06:00,CUST00018,PROD0219,STR006,Offline,4,2659.94,5,10107.77,Card
ORD000060,2024-10-22,19:36:00,CUST01228,PROD0092,STR013,Offline,5,4138.43,10,18622.94,Cash
ORD000061,2025-12-20,18:59:00,CUST00375,PROD0048,STR007,Online,5,43779.23,5,207951.34,UPI
ORD000062,2024-01-16,22:15:00,CUST01021,PROD0145,STR007,Offline,1,44696.43,20,35757.14,Cash
ORD000063,2024-02-14,20:49:00,CUST02123,PROD0131,STR010,Online,3,11772.1,20,28253.04,UPI
ORD000064,2024-12-25,11:16:00,CUST02232,PROD0031,STR010,Online,3,39654.3,0,118962.9,Cash
ORD000065,2025-03-21,18:45:00,CUST00357,PROD0135,STR011,Offline,5,34580.03,10,155610.14,Card
ORD000066,2024-01-07,21:18:00,CUST00812,PROD0223,STR009,Online,1,5177.62,10,4659.86,Cash
ORD000067,2024-06-20,12:38:00,CUST01626,PROD0231,STR015,Offline,4,4280.91,5,16267.46,Cash
ORD000068,2024-03-20,16:49:00,CUST02191,PROD0076,STR010,Online,1,609.51,20,487.61,Cash
ORD000069,2024-08-16,20:02:00,CUST01737,PROD0081,STR010,Online,4,3054.12,10,10994.83,Cash
ORD000070,2024-06-16,08:53:00,CUST00261,PROD0035,STR012,Online,1,17826.77,20,14261.42,Card
ORD000071,2024-04-23,11:33:00,CUST01056,PROD0075,STR009,Online,5,,0,195676.5,UPI
ORD000072,2024-04-28,17:15:00,CUST02035,PROD0102,STR011,Online,4,44309.49,15,150652.27,Card
ORD000073,2024-11-02,12:19:00,CUST02466,PROD0041,STR012,Offline,5,29940.55,20,119762.2,Cash
ORD000074,2024-04-27,21:35:00,CUST01612,PROD0122,STR012,Online,3,37163.54,0,111490.62,Cash
ORD000075,2025-09-07,10:47:00,CUST02310,PROD0158,STR015,Online,5,15723.74,20,62894.96,Cash
ORD000076,2024-11-17,16:11:00,CUST00645,PROD0137,STR011,Online,1,32106.32,20,25685.06,Card
ORD000077,2024-04-17,14:04:00,CUST00679,PROD0130,STR013,Offline,1,46762.33,5,44424.21,Cash
ORD000078,2025-05-18,10:14:00,CUST01542,PROD0005,STR012,Online,4,38734.15,0,154936.6,UPI
ORD000079,2025-09-21,21:40:00,CUST01098,PROD0066,STR002,Online,1,43971.33,20,35177.06,Card
ORD000080,2024-10-28,13:25:00,CUST01645,PROD0166,STR012,Offline,2,5970.15,20,9552.24,Card
ORD000081,2024-01-06,09:48:00,CUST00861,PROD0237,STR009,Online,5,44306.56,20,177226.24,Cash
ORD000082,2025-05-17,12:46:00,CUST02323,PROD0070,STR001,Online,1,15345.24,20,12276.19,UPI
ORD000083,2025-08-20,20:23:00,CUST00717,PROD0060,STR004,Online,5,20559.0,15,87375.75,Cash
ORD000084,2025-11-11,19:37:00,CUST00100,PROD0176,STR002,Offline,1,5123.33,15,4354.83,UPI
ORD000085,2025-07-14,10:09:00,CUST00265,PROD0147,STR001,Online,1,268.37,20,214.7,Cash
ORD000086,2025-03-30,14:38:00,CUST02337,PROD0161,STR004,Offline,3,32239.94,10,87047.84,Card
ORD000087,2024-10-20,11:41:00,CUST00552,PROD0175,STR005,Online,2,12980.27,15,22066.46,Cash
ORD000088,2024-08-11,12:15:00,CUST01787,PROD0108,STR001,Offline,5,28600.95,0,143004.75,Cash
ORD000089,2024-02-29,20:42:00,CUST01435,PROD0013,STR003,Offline,1,5258.11,5,4995.2,UPI
ORD000090,2025-10-10,11:08:00,CUST00947,PROD0238,STR008,Offline,1,6377.83,0,6377.83,UPI
ORD000091,2025-02-24,08:35:00,CUST01582,PROD0030,STR008,Online,4,3465.89,20,11090.85,UPI
ORD000092,2024-09-20,16:10:00,CUST01763,PROD0147,STR012,Offline,1,268.37,15,228.11,UPI
ORD000093,2024-04-24,22:32:00,CUST00408,PROD0096,STR004,Offline,3,20597.66,5,58703.33,Card
ORD000094,2024-09-21,18:30:00,CUST02029,PROD0009,STR004,Offline,3,6280.07,15,16014.18,Cash
ORD000095,2025-08-24,11:14:00,CUST02191,PROD0045,STR015,Online,1,16274.38,0,16274.38,UPI
ORD000096,2024-07-16,19:13:00,CUST00806,PROD0050,STR015,Online,5,19545.3,0,97726.5,Cash
ORD000097,2024-02-17,17:55:00,CUST02260,PROD0044,STR007,Offline,4,41614.01,0,166456.04,Card
ORD000098,2024-11-06,14:06:00,CUST00863,PROD0091,STR003,Offline,4,12072.66,15,41047.04,Cash
ORD000099,2024-10-17,19:55:00,CUST00471,PROD0031,STR015,Offline,3,39654.3,0,118962.9,Cash
ORD000100,2025-06-29,20:35:00,CUST02341,PROD0156,STR010,Online,2,11964.57,5,22732.68,UPI
ORD000101,2025-02-20,18:42:00,CUST00683,PROD0214,STR005,online,1,37075.72,0,37075.72,UPI
ORD000102,2024-12-19,11:45:00,CUST01535,PROD0160,STR007,Online,4,9116.44,5,34642.47,Card
ORD000103,2025-12-21,20:58:00,CUST00083,PROD0079,STR015,Online,2,34994.37,20,55990.99,UPI
ORD000104,2025-10-21,13:27:00,CUST02446,PROD0016,STR006,Offline,2,14677.25,5,27886.78,Card
ORD000105,2024-04-27,09:59:00,CUST01721,PROD0125,STR012,Online,1,35036.92,5,33285.07,Card
ORD000106,2024-08-15,11:33:00,CUST01746,PROD0171,STR007,Online,5,40486.83,0,202434.15,Cash
ORD000107,2024-11-24,13:31:00,CUST02075,PROD0111,STR001,Offline,3,39850.92,10,107597.48,UPI
ORD000108,2024-03-06,11:34:00,CUST01841,PROD0090,STR015,Online,1,16166.0,15,13741.1,Cash
ORD000109,2025-08-24,11:11:00,CUST02252,PROD0105,STR015,Online,5,38246.01,5,181668.55,Card
ORD000110,2025-09-02,15:28:00,CUST02495,PROD0033,STR002,Online,3,41901.35,10,113133.64,Cash
ORD000111,2024-09-24,10:18:00,CUST00536,PROD0173,STR008,Online,2,16649.33,20,26638.93,Card
ORD000112,2025-11-18,11:01:00,CUST00382,PROD0173,STR002,Online,1,16649.33,0,16649.33,UPI
ORD000113,2025-02-17,19:44:00,CUST00694,PROD0010,STR009,Offline,4,418.2,0,1672.8,Cash
ORD000114,2024-07-23,08:27:00,CUST00007,PROD0075,STR014,Online,4,39135.3,0,156541.2,Card
ORD000115,2025-04-21,17:13:00,CUST00556,PROD0177,STR001,Online,3,11854.41,15,30228.75,Card
ORD000116,2025-06-07,14:45:00,CUST01800,PROD0024,STR011,Online,2,12351.11,0,24702.22,UPI
ORD000117,2025-07-18,14:16:00,CUST01586,PROD0245,STR001,Offline,1,30217.68,20,24174.14,UPI
ORD000118,2025-12-18,14:30:00,CUST01602,PROD0059,STR005,Offline,1,40029.62,20,32023.7,UPI
ORD000119,2025-11-22,15:13:00,CUST00814,PROD0178,STR009,Online,2,7000.19,5,13300.36,Cash
ORD000120,2024-11-22,10:01:00,CUST00149,PROD0002,STR007,Offline,3,44634.91,15,113819.02,Cash
ORD000121,2024-11-30,09:55:00,CUST00158,PROD0129,STR008,Online,3,38473.55,10,103878.58,Card
ORD000122,2024-01-22,13:23:00,CUST00843,PROD0095,STR006,Online,4,29540.25,5,112252.95,Cash
ORD000123,2024-11-24,20:18:00,CUST00772,PROD0236,STR013,Online,5,39562.5,5,187921.88,Card
ORD000124,2024-06-11,22:27:00,CUST00427,PROD0218,STR014,Offline,1,11222.28,10,10100.05,Cash
ORD000125,2024-04-20,13:25:00,CUST01795,PROD0057,STR001,Online,5,134.5,15,571.62,Cash
ORD000126,2025-10-08,16:14:00,CUST02367,PROD0036,STR010,Online,3,38634.63,0,115903.89,Cash
ORD000127,2024-01-21,10:04:00,CUST00115,PROD0177,STR013,Offline,5,11854.41,0,59272.05,Card
ORD000128,2024-04-28,14:51:00,CUST00095,PROD0090,STR008,Online,5,16166.0,0,80830.0,Card
ORD000129,2025-05-31,22:44:00,CUST00558,PROD0016,STR011,Offline,1,14677.25,5,13943.39,Card
ORD000130,2025-03-02,21:17:00,CUST00860,PROD0147,STR006,Online,4,268.37,5,1019.81,Card
ORD000131,2024-11-29,21:26:00,CUST00865,PROD0236,STR001,Offline,5,39562.5,0,197812.5,Cash
ORD000132,2025-10-04,22:59:00,CUST02469,PROD0111,STR013,Offline,2,39850.92,15,67746.56,Cash
ORD000133,2024-08-05,11:12:00,CUST01343,PROD0029,STR006,Offline,1,7689.93,15,6536.44,Card
ORD000134,2024-07-07,08:14:00,CUST00721,PROD0107,STR012,Offline,1,2322.88,5,2206.74,UPI
ORD000135,2025-01-12,10:25:00,CUST01008,PROD0066,STR004,Online,5,43971.33,5,208863.82,UPI
ORD000136,2024-04-07,18:47:00,CUST00004,PROD0015,STR010,Online,2,24919.94,5,47347.89,Cash
ORD000137,2025-06-22,16:33:00,CUST01231,PROD0246,STR015,Offline,4,7304.91,15,24836.69,UPI
ORD000138,2025-12-02,13:14:00,CUST01642,PROD0238,STR011,Offline,2,6377.83,5,12117.88,UPI
ORD000139,2025-10-06,19:01:00,CUST00050,PROD0050,STR013,Online,5,19545.3,5,92840.18,UPI
ORD000140,2025-11-07,11:34:00,CUST01742,PROD0124,STR014,Online,2,44102.32,5,83794.41,Cash
ORD000141,2024-03-08,17:28:00,CUST02316,PROD0144,STR011,Online,3,43596.84,15,111171.94,Cash
ORD000142,2024-11-27,14:03:00,CUST01798,PROD0099,STR005,Offline,4,25956.66,5,98635.31,Card
ORD000143,2025-11-17,10:40:00,CUST01935,PROD0173,STR009,Online,2,16649.33,10,29968.79,Card
ORD000144,2025-10-20,20:10:00,CUST01458,PROD0031,STR006,Offline,5,39654.3,20,158617.2,UPI
ORD000145,2025-03-27,10:42:00,CUST02086,PROD0019,STR009,Online,1,7844.21,5,7452.0,Card
ORD000146,2025-05-21,20:10:00,CUST00088,PROD0149,STR014,Online,5,24014.23,10,108064.04,UPI
ORD000147,2024-08-31,20:34:00,CUST00355,PROD0025,STR010,Online,2,34989.79,5,66480.6,UPI
ORD000148,2024-08-30,14:59:00,CUST02322,PROD0088,STR011,Offline,1,26855.84,20,21484.67,Cash
ORD000149,2024-03-02,15:03:00,CUST02159,PROD0187,STR009,Online,4,40128.2,5,152487.16,Cash
ORD000150,2025-11-16,11:38:00,CUST01041,PROD0111,STR014,Offline,4,39850.92,15,135493.13,UPI
ORD000151,15/05/2024,10:20:00,CUST02325,PROD0181,STR006,Offline,4,36967.04,15,125687.94,Card
ORD000152,2025-12-28,19:29:00,CUST01882,PROD0239,STR003,Online,3,44390.58,5,126513.15,UPI
ORD000153,2024-01-07,13:01:00,CUST01982,PROD0221,STR015,Online,4,14209.03,20,45468.9,Card
ORD000154,2025-10-01,17:02:00,CUST00169,PROD0106,STR010,Offline,3,3629.5,0,10888.5,Cash
ORD000155,2025-01-24,13:54:00,CUST01848,PROD0064,STR003,Offline,3,28617.78,5,81560.67,UPI
ORD000156,2024-02-08,12:26:00,CUST01002,PROD0122,STR003,Offline,1,37163.54,0,37163.54,Cash
ORD000157,2025-05-29,10:07:00,CUST00955,PROD0191,STR008,Online,2,22508.87,10,40515.97,Card
ORD000158,2025-07-04,20:26:00,CUST01312,PROD0083,STR004,Online,2,25508.85,0,51017.7,Cash
ORD000159,2025-07-02,14:41:00,CUST01756,PROD0101,STR003,Online,5,35038.27,10,157672.22,UPI
ORD000160,2025-06-28,10:01:00,CUST00223,PROD0158,STR004,Online,1,15723.74,0,15723.74,Card
ORD000161,2025-06-12,21:53:00,CUST02128,PROD0172,STR005,Offline,1,47567.16,0,47567.16,Card
ORD000162,2025-09-02,10:22:00,CUST00294,PROD0221,STR006,Offline,1,14209.03,5,13498.58,UPI
ORD000163,2024-11-07,11:15:00,CUST01555,PROD0082,STR012,Online,2,7795.46,0,15590.92,Cash
ORD000164,2025-12-12,10:54:00,CUST00980,PROD0005,STR008,Online,4,38734.15,10,139442.94,UPI
ORD000165,2024-12-23,16:29:00,CUST01362,PROD0064,STR005,Offline,1,28617.78,10,25756.0,Card
ORD000166,2024-09-01,20:08:00,CUST00665,PROD0157,STR006,Offline,5,23009.82,0,115049.1,Cash
ORD000167,2025-12-28,08:11:00,CUST02397,PROD0196,STR002,Online,4,20139.88,10,72503.57,UPI
ORD000168,2024-09-12,22:45:00,CUST00917,PROD0028,STR011,Offline,3,36502.66,10,98557.18,Card
ORD000169,2024-12-04,19:35:00,CUST02304,PROD0001,STR002,Online,3,35154.87,10,94918.15,Card
ORD000170,2025-06-30,21:27:00,CUST01051,PROD0043,STR001,Offline,1,33552.86,10,30197.57,Cash
ORD000171,2025-09-30,14:47:00,CUST01022,PROD0138,STR009,Offline,3,17340.85,15,44219.17,Card
ORD000172,2024-10-08,14:21:00,CUST02348,PROD0229,STR013,Online,2,44321.07,10,79777.93,UPI
ORD000173,2024-02-02,09:10:00,CUST01075,PROD0145,STR002,Online,4,44696.43,0,178785.72,Card
ORD000174,2025-03-13,12:40:00,CUST01736,PROD0050,STR015,Online,5,19545.3,5,92840.18,Card
ORD000175,2025-03-25,21:13:00,CUST00915,PROD0125,STR015,Offline,1,35036.92,0,35036.92,UPI
ORD000176,2025-07-29,12:17:00,CUST01252,PROD0117,STR004,Offline,3,23611.99,5,67294.17,UPI
ORD000177,2024-08-26,22:03:00,CUST01192,PROD0086,STR006,Offline,3,15143.34,20,36344.02,UPI
ORD000178,2025-10-11,21:40:00,CUST01171,PROD0181,STR004,Online,4,36967.04,20,118294.53,UPI
ORD000179,2025-09-07,22:43:00,CUST00740,PROD0122,STR007,Offline,5,37163.54,10,167235.93,UPI
ORD000180,2025-10-29,10:55:00,CUST00429,PROD0232,STR002,Offline,2,19148.56,15,32552.55,Card
ORD000181,2025-08-22,14:11:00,CUST02218,PROD0044,STR010,Online,3,41614.01,0,124842.03,Card
ORD000182,2025-06-07,21:48:00,CUST02458,PROD0161,STR006,Offline,3,32239.94,5,91883.83,UPI
ORD000183,2025-02-19,12:17:00,CUST00530,PROD0025,STR001,Online,3,34989.79,0,104969.37,UPI
ORD000184,2025-10-27,11:32:00,CUST00056,PROD0154,STR009,Offline,5,11595.29,10,52178.81,UPI
ORD000185,2024-07-25,08:32:00,CUST00567,PROD0205,STR011,Offline,1,32841.41,15,27915.2,Cash
ORD000186,2025-05-31,16:46:00,CUST01516,PROD0229,STR005,Offline,4,44321.07,0,177284.28,UPI
